Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED RED,LED_0805_2012Metric,150.225,-65.9,0.0,top
D10,LED RED,LED_0805_2012Metric,192.525,-154.425,0.0,top
D2,LED RED,LED_0805_2012Metric,150.325,-88.5,0.0,top
D3,LED RED,LED_0805_2012Metric,149.9,-112.275,0.0,top
D4,LED RED,LED_0805_2012Metric,150.075,-133.175,0.0,top
D5,LED RED,LED_0805_2012Metric,150.175,-154.1,0.0,top
D6,LED RED,LED_0805_2012Metric,192.925,-66.1,0.0,top
D7,LED RED,LED_0805_2012Metric,192.9875,-88.8,0.0,top
D8,LED RED,LED_0805_2012Metric,192.5125,-112.525,0.0,top
D9,LED RED,LED_0805_2012Metric,192.4625,-133.375,0.0,top
F1,Fuse,3557-2,132.85,-75.075,180.0,top
F10,Fuse,3557-2,175.15,-163.1,180.0,top
F11,Fuse,3557-2,153.175,-53.825,180.0,top
F12,Fuse,3557-2,195.75,-53.825,180.0,top
F2,Fuse,3557-2,132.85,-97.475,180.0,top
F3,Fuse,3557-2,132.55,-121.0,180.0,top
F4,Fuse,3557-2,132.525,-141.9,180.0,top
F5,Fuse,3557-2,132.725,-162.75,180.0,top
F6,Fuse,3557-2,175.525,-74.8,180.0,top
F7,Fuse,3557-2,175.525,-97.375,180.0,top
F8,Fuse,3557-2,175.125,-121.2,180.0,top
F9,Fuse,3557-2,175.15,-142.0,180.0,top
K1,SRA-12VDC-CL,SRA12VDCCL,153.125,-74.725,0.0,top
K10,SRA-12VDC-CL,SRA12VDCCL,195.425,-162.975,0.0,top
K2,SRA-12VDC-CL,SRA12VDCCL,153.175,-97.275,0.0,top
K3,SRA-12VDC-CL,SRA12VDCCL,152.85,-121.1,0.0,top
K4,SRA-12VDC-CL,SRA12VDCCL,153.0,-141.875,0.0,top
K5,SRA-12VDC-CL,SRA12VDCCL,153.125,-162.75,0.0,top
K6,SRA-12VDC-CL,SRA12VDCCL,195.825,-74.825,0.0,top
K7,SRA-12VDC-CL,SRA12VDCCL,195.8,-97.3,0.0,top
K8,SRA-12VDC-CL,SRA12VDCCL,195.35,-121.2,0.0,top
K9,SRA-12VDC-CL,SRA12VDCCL,195.375,-141.9,0.0,top
R1,1K,R_0805_2012Metric,153.9,-65.9,180.0,top
R10,1K,R_0805_2012Metric,196.25,-154.45,180.0,top
R2,1K,R_0805_2012Metric,154.1375,-88.525,180.0,top
R3,1K,R_0805_2012Metric,153.675,-112.275,180.0,top
R4,1K,R_0805_2012Metric,153.85,-133.2,180.0,top
R5,1K,R_0805_2012Metric,153.75,-154.125,180.0,top
R6,1K,R_0805_2012Metric,196.5125,-66.075,180.0,top
R7,1K,R_0805_2012Metric,196.8375,-88.825,180.0,top
R8,1K,R_0805_2012Metric,196.2125,-112.525,180.0,top
R9,1K,R_0805_2012Metric,196.1,-133.375,180.0,top
